epoch,train_loss,test_loss,train_acc,test_acc
0,2.276591079,2.181562184,0.2157,0.2907
1,2.002496776,1.878047088,0.537333333,0.6597
2,1.83054269,1.808706698,0.673116667,0.6759
3,1.786083957,1.777025311,0.694166667,0.7091
4,1.753500389,1.744083776,0.743283333,0.7546
5,1.724465725,1.721862536,0.769366667,0.7649
6,1.706726333,1.707272371,0.779216667,0.776
7,1.69585118,1.699068399,0.785783333,0.7802
8,1.688389642,1.694750363,0.7899,0.7814
9,1.683043285,1.68691806,0.793633333,0.7872
10,1.67866678,1.683222962,0.79635,0.7894
11,1.675188097,1.679990408,0.79885,0.7923
12,1.672263285,1.677750856,0.80045,0.794
13,1.669861867,1.675610084,0.802533333,0.7948
14,1.667435944,1.673043062,0.804183333,0.7982
15,1.665544108,1.671767252,0.80565,0.7981
16,1.663689213,1.672317106,0.807616667,0.7953
17,1.662322749,1.673824317,0.808133333,0.7948
18,1.660841346,1.669135972,0.809666667,0.8003
19,1.659401469,1.666464631,0.810033333,0.8022
20,1.658128488,1.665038102,0.81135,0.8046
21,1.656983065,1.663980437,0.81225,0.8059
22,1.655864723,1.663519451,0.813366667,0.8049
23,1.654861522,1.66371445,0.81465,0.8044
24,1.654032104,1.663597089,0.81505,0.804
25,1.653037004,1.663785513,0.815783333,0.8028
26,1.652307243,1.660624147,0.816466667,0.8065
27,1.651530959,1.660808699,0.816716667,0.8048
28,1.650828396,1.658948571,0.817816667,0.8083
29,1.650076276,1.658991513,0.81765,0.8083
30,1.649541598,1.658396573,0.8185,0.8092
31,1.648975714,1.657659208,0.819083333,0.8092
32,1.648125314,1.657656369,0.8196,0.8096
33,1.64768751,1.657846137,0.82025,0.8094
34,1.647150418,1.657415936,0.82045,0.8097
35,1.646678088,1.655884084,0.82105,0.8104
36,1.646253101,1.655895226,0.821416667,0.8099
37,1.645694434,1.655236774,0.822016667,0.8109
38,1.645159044,1.656997526,0.822066667,0.8095
39,1.644730359,1.654362817,0.822633333,0.8125
40,1.644415069,1.654126865,0.822833333,0.8119
41,1.643908314,1.653747714,0.823616667,0.8124
42,1.643475305,1.654865947,0.8238,0.8121
43,1.643054897,1.654116731,0.824233333,0.8115
44,1.642687927,1.652835457,0.823883333,0.8136
45,1.642264191,1.652727448,0.8245,0.8137
46,1.641999715,1.653336116,0.82465,0.8114
47,1.641781092,1.652259584,0.824816667,0.8138
48,1.641229001,1.652118747,0.825633333,0.8147
49,1.640786908,1.652280183,0.826216667,0.8134
50,1.640625384,1.652094667,0.825783333,0.8134
51,1.640089266,1.651616825,0.826133333,0.8138
52,1.639883705,1.651780573,0.82675,0.8135
53,1.639558973,1.652454214,0.827033333,0.8118
54,1.639123838,1.650755651,0.827383333,0.8149
55,1.63902089,1.65074553,0.82755,0.8144
56,1.638564879,1.650110422,0.82755,0.8155
57,1.638421517,1.651068476,0.82775,0.814
58,1.638072537,1.650117153,0.828283333,0.8154
59,1.637732872,1.651188247,0.828983333,0.8133
60,1.637520505,1.650015895,0.828616667,0.8144
61,1.637094218,1.650191396,0.8293,0.8141
62,1.636787793,1.650186141,0.829383333,0.814
63,1.63645483,1.65024557,0.829983333,0.8148
64,1.636225834,1.651029917,0.83015,0.8139
65,1.636200043,1.650369506,0.830016667,0.8154
66,1.635889538,1.648680909,0.83015,0.8166
67,1.635562599,1.652352006,0.830566667,0.8127
68,1.635460938,1.648273075,0.8302,0.8167
69,1.635157952,1.647791261,0.830866667,0.8172
70,1.634720021,1.652959345,0.831566667,0.8115
71,1.634598245,1.647212914,0.831583333,0.8177
72,1.634419736,1.647204338,0.831533333,0.8173
73,1.633879299,1.647260335,0.832866667,0.8176
74,1.633748292,1.647050759,0.832783333,0.8176
75,1.633494362,1.649294957,0.832716667,0.8151
76,1.633166605,1.647583867,0.833083333,0.8162
77,1.633136699,1.647431925,0.8334,0.8176
78,1.632672528,1.646413974,0.834166667,0.8195
79,1.632425927,1.646104298,0.83375,0.8183
80,1.632236022,1.648107631,0.834066667,0.8158
81,1.63205376,1.646966935,0.834433333,0.817
82,1.631663931,1.645885878,0.834566667,0.8186
83,1.631564697,1.645800805,0.834866667,0.8178
84,1.631547224,1.645538278,0.834316667,0.8178
85,1.631309939,1.645494524,0.834983333,0.819
86,1.630999713,1.645588866,0.835116667,0.8173
87,1.630996467,1.646378175,0.834883333,0.8177
88,1.630741133,1.644978362,0.835516667,0.8186
89,1.630405922,1.646984658,0.836233333,0.8168
90,1.630244381,1.647811067,0.836316667,0.8169
91,1.630148815,1.645106524,0.835666667,0.8185
92,1.62987157,1.644551416,0.8362,0.819
93,1.629721069,1.645025698,0.836083333,0.8182
94,1.629570105,1.644642932,0.835883333,0.8182
95,1.629411418,1.645108749,0.836866667,0.8185
96,1.629249323,1.644911612,0.83655,0.8187
97,1.628970475,1.644162211,0.837133333,0.8195
98,1.628866179,1.647834283,0.836816667,0.8152
99,1.62858217,1.644014771,0.837783333,0.8203